ID;Year;Date;Stage;Home Team;Home Goals;Away Goals;Away Team;Host Team
1;1930;13/07/1930;Group stage;France;4;1;Mexico;FALSO
2;1930;13/07/1930;Group stage;United States;3;0;Belgium;FALSO
3;1930;14/07/1930;Group stage;Yugoslavia;2;1;Brazil;FALSO
4;1930;14/07/1930;Group stage;Romania;3;1;Peru;FALSO
5;1930;15/07/1930;Group stage;Argentina;1;0;France;FALSO
6;1930;16/07/1930;Group stage;Chile;3;0;Mexico;FALSO
7;1930;17/07/1930;Group stage;Yugoslavia;4;0;Bolivia;FALSO
8;1930;17/07/1930;Group stage;United States;3;0;Paraguay;FALSO
9;1930;18/07/1930;Group stage;Uruguay;1;0;Peru;VERO
10;1930;19/07/1930;Group stage;Chile;1;0;France;FALSO
11;1930;19/07/1930;Group stage;Argentina;6;3;Mexico;FALSO
12;1930;20/07/1930;Group stage;Brazil;4;0;Bolivia;FALSO
13;1930;20/07/1930;Group stage;Paraguay;1;0;Belgium;FALSO
14;1930;21/07/1930;Group stage;Uruguay;4;0;Romania;VERO
15;1930;22/07/1930;Group stage;Argentina;3;1;Chile;FALSO
16;1930;26/07/1930;Semi-finals;Argentina;6;1;United States;FALSO
17;1930;27/07/1930;Semi-finals;Uruguay;6;1;Yugoslavia;VERO
18;1930;30/07/1930;Final;Uruguay;4;2;Argentina;VERO
19;1934;27/05/1934;Round of 16;Austria;3;2;France;FALSO
20;1934;27/05/1934;Round of 16;Hungary;4;2;Egypt;FALSO
21;1934;27/05/1934;Round of 16;Switzerland;3;2;Netherlands;FALSO
22;1934;27/05/1934;Round of 16;Sweden;3;2;Argentina;FALSO
23;1934;27/05/1934;Round of 16;Germany;5;2;Belgium;FALSO
24;1934;27/05/1934;Round of 16;Spain;3;1;Brazil;FALSO
25;1934;27/05/1934;Round of 16;Italy;7;1;United States;VERO
26;1934;27/05/1934;Round of 16;Czechoslovakia;2;1;Romania;FALSO
27;1934;31/05/1934;Quarter-finals;Czechoslovakia;3;2;Switzerland;FALSO
28;1934;31/05/1934;Quarter-finals;Germany;2;1;Sweden;FALSO
29;1934;31/05/1934;Quarter-finals;Italy;1;1;Spain;VERO
30;1934;31/05/1934;Quarter-finals;Austria;2;1;Hungary;FALSO
31;1934;01/06/1934;Quarter-finals;Italy;1;0;Spain;VERO
32;1934;03/06/1934;Semi-finals;Italy;1;0;Austria;VERO
33;1934;03/06/1934;Semi-finals;Czechoslovakia;3;1;Germany;FALSO
34;1934;07/06/1934;Third place;Germany;3;2;Austria;FALSO
35;1934;10/06/1934;Final;Italy;2;1;Czechoslovakia;VERO
36;1938;04/06/1938;Round of 16;Switzerland;1;1;Germany;FALSO
37;1938;05/06/1938;Round of 16;Hungary;6;0;Indonesia;FALSO
38;1938;05/06/1938;Round of 16;France;3;1;Belgium;VERO
39;1938;05/06/1938;Round of 16;Cuba;3;3;Romania;FALSO
40;1938;05/06/1938;Round of 16;Italy;2;1;Norway;FALSO
41;1938;05/06/1938;Round of 16;Brazil;6;5;Poland;FALSO
42;1938;05/06/1938;Round of 16;Czechoslovakia;3;0;Netherlands;FALSO
43;1938;09/06/1938;Round of 16;Cuba;2;1;Romania;FALSO
44;1938;09/06/1938;Round of 16;Switzerland;4;2;Germany;FALSO
45;1938;12/06/1938;Quarter-finals;Brazil;1;1;Czechoslovakia;FALSO
46;1938;12/06/1938;Quarter-finals;Hungary;2;0;Switzerland;FALSO
47;1938;12/06/1938;Quarter-finals;Sweden;8;0;Cuba;FALSO
48;1938;12/06/1938;Quarter-finals;France;1;3;Italy;VERO
49;1938;14/06/1938;Quarter-finals;Brazil;2;1;Czechoslovakia;FALSO
50;1938;16/06/1938;Semi-finals;Hungary;5;1;Sweden;FALSO
51;1938;16/06/1938;Semi-finals;Italy;2;1;Brazil;FALSO
52;1938;19/06/1938;Third place;Brazil;4;2;Sweden;FALSO
53;1938;19/06/1938;Final;Italy;4;2;Hungary;FALSO
54;1950;24/06/1950;First round;Brazil;4;0;Mexico;VERO
55;1950;25/06/1950;First round;England;2;0;Chile;FALSO
56;1950;25/06/1950;First round;Spain;3;1;United States;FALSO
57;1950;25/06/1950;First round;Sweden;3;2;Italy;FALSO
58;1950;25/06/1950;First round;Yugoslavia;3;0;Switzerland;FALSO
59;1950;28/06/1950;First round;Brazil;2;2;Switzerland;VERO
60;1950;28/06/1950;First round;Yugoslavia;4;1;Mexico;FALSO
61;1950;29/06/1950;First round;Spain;2;0;Chile;FALSO
62;1950;29/06/1950;First round;United States;1;0;England;FALSO
63;1950;29/06/1950;First round;Sweden;2;2;Paraguay;FALSO
64;1950;01/07/1950;First round;Brazil;2;0;Yugoslavia;VERO
65;1950;02/07/1950;First round;Spain;1;0;England;FALSO
66;1950;02/07/1950;First round;Italy;2;0;Paraguay;FALSO
67;1950;02/07/1950;First round;Uruguay;8;0;Bolivia;FALSO
68;1950;02/07/1950;First round;Chile;5;2;United States;FALSO
69;1950;02/07/1950;First round;Switzerland;2;1;Mexico;FALSO
70;1950;09/07/1950;Final round;Uruguay;2;2;Spain;FALSO
71;1950;09/07/1950;Final round;Brazil;7;1;Sweden;VERO
72;1950;13/07/1950;Final round;Brazil;6;1;Spain;VERO
73;1950;13/07/1950;Final round;Uruguay;3;2;Sweden;FALSO
